# X,Y,Penetration Depth,Frames to Capture
0.00,0.00,3.00,30.00
0.50,0.00,3.00,30.00
1.00,0.00,3.00,30.00
1.50,0.00,3.00,30.00
2.00,0.00,3.00,30.00
2.50,0.00,3.00,30.00
3.00,0.00,3.00,30.00
3.50,0.00,3.00,30.00
4.00,0.00,3.00,30.00
4.50,0.00,3.00,30.00
5.00,0.00,3.00,30.00
5.50,0.00,3.00,30.00
6.00,0.00,3.00,30.00
6.50,0.00,3.00,30.00
7.00,0.00,3.00,30.00
7.50,0.00,3.00,30.00
8.00,0.00,3.00,30.00
8.50,0.00,3.00,30.00
9.00,0.00,3.00,30.00
9.50,0.00,3.00,30.00
10.00,0.00,3.00,30.00
10.50,0.00,3.00,30.00
11.00,0.00,3.00,30.00
11.50,0.00,3.00,30.00
12.00,0.00,3.00,30.00
12.50,0.00,3.00,30.00
13.00,0.00,3.00,30.00
13.50,0.00,3.00,30.00
14.00,0.00,3.00,30.00
14.50,0.00,3.00,30.00
15.00,0.00,3.00,30.00
15.50,0.00,3.00,30.00
16.00,0.00,3.00,30.00
16.50,0.00,3.00,30.00
17.00,0.00,3.00,30.00
17.50,0.00,3.00,30.00
18.00,0.00,3.00,30.00
18.50,0.00,3.00,30.00
19.00,0.00,3.00,30.00
0.00,0.50,3.00,30.00
0.50,0.50,3.00,30.00
1.00,0.50,3.00,30.00
1.50,0.50,3.00,30.00
2.00,0.50,3.00,30.00
2.50,0.50,3.00,30.00
3.00,0.50,3.00,30.00
3.50,0.50,3.00,30.00
4.00,0.50,3.00,30.00
4.50,0.50,3.00,30.00
5.00,0.50,3.00,30.00
5.50,0.50,3.00,30.00
6.00,0.50,3.00,30.00
6.50,0.50,3.00,30.00
7.00,0.50,3.00,30.00
7.50,0.50,3.00,30.00
8.00,0.50,3.00,30.00
8.50,0.50,3.00,30.00
9.00,0.50,3.00,30.00
9.50,0.50,3.00,30.00
10.00,0.50,3.00,30.00
10.50,0.50,3.00,30.00
11.00,0.50,3.00,30.00
11.50,0.50,3.00,30.00
12.00,0.50,3.00,30.00
12.50,0.50,3.00,30.00
13.00,0.50,3.00,30.00
13.50,0.50,3.00,30.00
14.00,0.50,3.00,30.00
14.50,0.50,3.00,30.00
15.00,0.50,3.00,30.00
15.50,0.50,3.00,30.00
16.00,0.50,3.00,30.00
16.50,0.50,3.00,30.00
17.00,0.50,3.00,30.00
17.50,0.50,3.00,30.00
18.00,0.50,3.00,30.00
18.50,0.50,3.00,30.00
19.00,0.50,3.00,30.00
0.00,1.00,3.00,30.00
0.50,1.00,3.00,30.00
1.00,1.00,3.00,30.00
1.50,1.00,3.00,30.00
2.00,1.00,3.00,30.00
2.50,1.00,3.00,30.00
3.00,1.00,3.00,30.00
3.50,1.00,3.00,30.00
4.00,1.00,3.00,30.00
4.50,1.00,3.00,30.00
5.00,1.00,3.00,30.00
5.50,1.00,3.00,30.00
6.00,1.00,3.00,30.00
6.50,1.00,3.00,30.00
7.00,1.00,3.00,30.00
7.50,1.00,3.00,30.00
8.00,1.00,3.00,30.00
8.50,1.00,3.00,30.00
9.00,1.00,3.00,30.00
9.50,1.00,3.00,30.00
10.00,1.00,3.00,30.00
10.50,1.00,3.00,30.00
11.00,1.00,3.00,30.00
11.50,1.00,3.00,30.00
12.00,1.00,3.00,30.00
12.50,1.00,3.00,30.00
13.00,1.00,3.00,30.00
13.50,1.00,3.00,30.00
14.00,1.00,3.00,30.00
14.50,1.00,3.00,30.00
15.00,1.00,3.00,30.00
15.50,1.00,3.00,30.00
16.00,1.00,3.00,30.00
16.50,1.00,3.00,30.00
17.00,1.00,3.00,30.00
17.50,1.00,3.00,30.00
18.00,1.00,3.00,30.00
18.50,1.00,3.00,30.00
19.00,1.00,3.00,30.00
0.00,1.50,3.00,30.00
0.50,1.50,3.00,30.00
1.00,1.50,3.00,30.00
1.50,1.50,3.00,30.00
2.00,1.50,3.00,30.00
2.50,1.50,3.00,30.00
3.00,1.50,3.00,30.00
3.50,1.50,3.00,30.00
4.00,1.50,3.00,30.00
4.50,1.50,3.00,30.00
5.00,1.50,3.00,30.00
5.50,1.50,3.00,30.00
6.00,1.50,3.00,30.00
6.50,1.50,3.00,30.00
7.00,1.50,3.00,30.00
7.50,1.50,3.00,30.00
8.00,1.50,3.00,30.00
8.50,1.50,3.00,30.00
9.00,1.50,3.00,30.00
9.50,1.50,3.00,30.00
10.00,1.50,3.00,30.00
10.50,1.50,3.00,30.00
11.00,1.50,3.00,30.00
11.50,1.50,3.00,30.00
12.00,1.50,3.00,30.00
12.50,1.50,3.00,30.00
13.00,1.50,3.00,30.00
13.50,1.50,3.00,30.00
14.00,1.50,3.00,30.00
14.50,1.50,3.00,30.00
15.00,1.50,3.00,30.00
15.50,1.50,3.00,30.00
16.00,1.50,3.00,30.00
16.50,1.50,3.00,30.00
17.00,1.50,3.00,30.00
17.50,1.50,3.00,30.00
18.00,1.50,3.00,30.00
18.50,1.50,3.00,30.00
19.00,1.50,3.00,30.00
0.00,2.00,3.00,30.00
0.50,2.00,3.00,30.00
1.00,2.00,3.00,30.00
1.50,2.00,3.00,30.00
2.00,2.00,3.00,30.00
2.50,2.00,3.00,30.00
3.00,2.00,3.00,30.00
3.50,2.00,3.00,30.00
4.00,2.00,3.00,30.00
4.50,2.00,3.00,30.00
5.00,2.00,3.00,30.00
5.50,2.00,3.00,30.00
6.00,2.00,3.00,30.00
6.50,2.00,3.00,30.00
7.00,2.00,3.00,30.00
7.50,2.00,3.00,30.00
8.00,2.00,3.00,30.00
8.50,2.00,3.00,30.00
9.00,2.00,3.00,30.00
9.50,2.00,3.00,30.00
10.00,2.00,3.00,30.00
10.50,2.00,3.00,30.00
11.00,2.00,3.00,30.00
11.50,2.00,3.00,30.00
12.00,2.00,3.00,30.00
12.50,2.00,3.00,30.00
13.00,2.00,3.00,30.00
13.50,2.00,3.00,30.00
14.00,2.00,3.00,30.00
14.50,2.00,3.00,30.00
15.00,2.00,3.00,30.00
15.50,2.00,3.00,30.00
16.00,2.00,3.00,30.00
16.50,2.00,3.00,30.00
17.00,2.00,3.00,30.00
17.50,2.00,3.00,30.00
18.00,2.00,3.00,30.00
18.50,2.00,3.00,30.00
19.00,2.00,3.00,30.00
0.00,2.50,3.00,30.00
0.50,2.50,3.00,30.00
1.00,2.50,3.00,30.00
1.50,2.50,3.00,30.00
2.00,2.50,3.00,30.00
2.50,2.50,3.00,30.00
3.00,2.50,3.00,30.00
3.50,2.50,3.00,30.00
4.00,2.50,3.00,30.00
4.50,2.50,3.00,30.00
5.00,2.50,3.00,30.00
5.50,2.50,3.00,30.00
6.00,2.50,3.00,30.00
6.50,2.50,3.00,30.00
7.00,2.50,3.00,30.00
7.50,2.50,3.00,30.00
8.00,2.50,3.00,30.00
8.50,2.50,3.00,30.00
9.00,2.50,3.00,30.00
9.50,2.50,3.00,30.00
10.00,2.50,3.00,30.00
10.50,2.50,3.00,30.00
11.00,2.50,3.00,30.00
11.50,2.50,3.00,30.00
12.00,2.50,3.00,30.00
12.50,2.50,3.00,30.00
13.00,2.50,3.00,30.00
13.50,2.50,3.00,30.00
14.00,2.50,3.00,30.00
14.50,2.50,3.00,30.00
15.00,2.50,3.00,30.00
15.50,2.50,3.00,30.00
16.00,2.50,3.00,30.00
16.50,2.50,3.00,30.00
17.00,2.50,3.00,30.00
17.50,2.50,3.00,30.00
18.00,2.50,3.00,30.00
18.50,2.50,3.00,30.00
19.00,2.50,3.00,30.00
0.00,3.00,3.00,30.00
0.50,3.00,3.00,30.00
1.00,3.00,3.00,30.00
1.50,3.00,3.00,30.00
2.00,3.00,3.00,30.00
2.50,3.00,3.00,30.00
3.00,3.00,3.00,30.00
3.50,3.00,3.00,30.00
4.00,3.00,3.00,30.00
4.50,3.00,3.00,30.00
5.00,3.00,3.00,30.00
5.50,3.00,3.00,30.00
6.00,3.00,3.00,30.00
6.50,3.00,3.00,30.00
7.00,3.00,3.00,30.00
7.50,3.00,3.00,30.00
8.00,3.00,3.00,30.00
8.50,3.00,3.00,30.00
9.00,3.00,3.00,30.00
9.50,3.00,3.00,30.00
10.00,3.00,3.00,30.00
10.50,3.00,3.00,30.00
11.00,3.00,3.00,30.00
11.50,3.00,3.00,30.00
12.00,3.00,3.00,30.00
12.50,3.00,3.00,30.00
13.00,3.00,3.00,30.00
13.50,3.00,3.00,30.00
14.00,3.00,3.00,30.00
14.50,3.00,3.00,30.00
15.00,3.00,3.00,30.00
15.50,3.00,3.00,30.00
16.00,3.00,3.00,30.00
16.50,3.00,3.00,30.00
17.00,3.00,3.00,30.00
17.50,3.00,3.00,30.00
18.00,3.00,3.00,30.00
18.50,3.00,3.00,30.00
19.00,3.00,3.00,30.00
0.00,3.50,3.00,30.00
0.50,3.50,3.00,30.00
1.00,3.50,3.00,30.00
1.50,3.50,3.00,30.00
2.00,3.50,3.00,30.00
2.50,3.50,3.00,30.00
3.00,3.50,3.00,30.00
3.50,3.50,3.00,30.00
4.00,3.50,3.00,30.00
4.50,3.50,3.00,30.00
5.00,3.50,3.00,30.00
5.50,3.50,3.00,30.00
6.00,3.50,3.00,30.00
6.50,3.50,3.00,30.00
7.00,3.50,3.00,30.00
7.50,3.50,3.00,30.00
8.00,3.50,3.00,30.00
8.50,3.50,3.00,30.00
9.00,3.50,3.00,30.00
9.50,3.50,3.00,30.00
10.00,3.50,3.00,30.00
10.50,3.50,3.00,30.00
11.00,3.50,3.00,30.00
11.50,3.50,3.00,30.00
12.00,3.50,3.00,30.00
12.50,3.50,3.00,30.00
13.00,3.50,3.00,30.00
13.50,3.50,3.00,30.00
14.00,3.50,3.00,30.00
14.50,3.50,3.00,30.00
15.00,3.50,3.00,30.00
15.50,3.50,3.00,30.00
16.00,3.50,3.00,30.00
16.50,3.50,3.00,30.00
17.00,3.50,3.00,30.00
17.50,3.50,3.00,30.00
18.00,3.50,3.00,30.00
18.50,3.50,3.00,30.00
19.00,3.50,3.00,30.00
0.00,4.00,3.00,30.00
0.50,4.00,3.00,30.00
1.00,4.00,3.00,30.00
1.50,4.00,3.00,30.00
2.00,4.00,3.00,30.00
2.50,4.00,3.00,30.00
3.00,4.00,3.00,30.00
3.50,4.00,3.00,30.00
4.00,4.00,3.00,30.00
4.50,4.00,3.00,30.00
5.00,4.00,3.00,30.00
5.50,4.00,3.00,30.00
6.00,4.00,3.00,30.00
6.50,4.00,3.00,30.00
7.00,4.00,3.00,30.00
7.50,4.00,3.00,30.00
8.00,4.00,3.00,30.00
8.50,4.00,3.00,30.00
9.00,4.00,3.00,30.00
9.50,4.00,3.00,30.00
10.00,4.00,3.00,30.00
10.50,4.00,3.00,30.00
11.00,4.00,3.00,30.00
11.50,4.00,3.00,30.00
12.00,4.00,3.00,30.00
12.50,4.00,3.00,30.00
13.00,4.00,3.00,30.00
13.50,4.00,3.00,30.00
14.00,4.00,3.00,30.00
14.50,4.00,3.00,30.00
15.00,4.00,3.00,30.00
15.50,4.00,3.00,30.00
16.00,4.00,3.00,30.00
16.50,4.00,3.00,30.00
17.00,4.00,3.00,30.00
17.50,4.00,3.00,30.00
18.00,4.00,3.00,30.00
18.50,4.00,3.00,30.00
19.00,4.00,3.00,30.00
0.00,4.50,3.00,30.00
0.50,4.50,3.00,30.00
1.00,4.50,3.00,30.00
1.50,4.50,3.00,30.00
2.00,4.50,3.00,30.00
2.50,4.50,3.00,30.00
3.00,4.50,3.00,30.00
3.50,4.50,3.00,30.00
4.00,4.50,3.00,30.00
4.50,4.50,3.00,30.00
5.00,4.50,3.00,30.00
5.50,4.50,3.00,30.00
6.00,4.50,3.00,30.00
6.50,4.50,3.00,30.00
7.00,4.50,3.00,30.00
7.50,4.50,3.00,30.00
8.00,4.50,3.00,30.00
8.50,4.50,3.00,30.00
9.00,4.50,3.00,30.00
9.50,4.50,3.00,30.00
10.00,4.50,3.00,30.00
10.50,4.50,3.00,30.00
11.00,4.50,3.00,30.00
11.50,4.50,3.00,30.00
12.00,4.50,3.00,30.00
12.50,4.50,3.00,30.00
13.00,4.50,3.00,30.00
13.50,4.50,3.00,30.00
14.00,4.50,3.00,30.00
14.50,4.50,3.00,30.00
15.00,4.50,3.00,30.00
15.50,4.50,3.00,30.00
16.00,4.50,3.00,30.00
16.50,4.50,3.00,30.00
17.00,4.50,3.00,30.00
17.50,4.50,3.00,30.00
18.00,4.50,3.00,30.00
18.50,4.50,3.00,30.00
19.00,4.50,3.00,30.00
0.00,5.00,3.00,30.00
0.50,5.00,3.00,30.00
1.00,5.00,3.00,30.00
1.50,5.00,3.00,30.00
2.00,5.00,3.00,30.00
2.50,5.00,3.00,30.00
3.00,5.00,3.00,30.00
3.50,5.00,3.00,30.00
4.00,5.00,3.00,30.00
4.50,5.00,3.00,30.00
5.00,5.00,3.00,30.00
5.50,5.00,3.00,30.00
6.00,5.00,3.00,30.00
6.50,5.00,3.00,30.00
7.00,5.00,3.00,30.00
7.50,5.00,3.00,30.00
8.00,5.00,3.00,30.00
8.50,5.00,3.00,30.00
9.00,5.00,3.00,30.00
9.50,5.00,3.00,30.00
10.00,5.00,3.00,30.00
10.50,5.00,3.00,30.00
11.00,5.00,3.00,30.00
11.50,5.00,3.00,30.00
12.00,5.00,3.00,30.00
12.50,5.00,3.00,30.00
13.00,5.00,3.00,30.00
13.50,5.00,3.00,30.00
14.00,5.00,3.00,30.00
14.50,5.00,3.00,30.00
15.00,5.00,3.00,30.00
15.50,5.00,3.00,30.00
16.00,5.00,3.00,30.00
16.50,5.00,3.00,30.00
17.00,5.00,3.00,30.00
17.50,5.00,3.00,30.00
18.00,5.00,3.00,30.00
18.50,5.00,3.00,30.00
19.00,5.00,3.00,30.00
0.00,5.50,3.00,30.00
0.50,5.50,3.00,30.00
1.00,5.50,3.00,30.00
1.50,5.50,3.00,30.00
2.00,5.50,3.00,30.00
2.50,5.50,3.00,30.00
3.00,5.50,3.00,30.00
3.50,5.50,3.00,30.00
4.00,5.50,3.00,30.00
4.50,5.50,3.00,30.00
5.00,5.50,3.00,30.00
5.50,5.50,3.00,30.00
6.00,5.50,3.00,30.00
6.50,5.50,3.00,30.00
7.00,5.50,3.00,30.00
7.50,5.50,3.00,30.00
8.00,5.50,3.00,30.00
8.50,5.50,3.00,30.00
9.00,5.50,3.00,30.00
9.50,5.50,3.00,30.00
10.00,5.50,3.00,30.00
10.50,5.50,3.00,30.00
11.00,5.50,3.00,30.00
11.50,5.50,3.00,30.00
12.00,5.50,3.00,30.00
12.50,5.50,3.00,30.00
13.00,5.50,3.00,30.00
13.50,5.50,3.00,30.00
14.00,5.50,3.00,30.00
14.50,5.50,3.00,30.00
15.00,5.50,3.00,30.00
15.50,5.50,3.00,30.00
16.00,5.50,3.00,30.00
16.50,5.50,3.00,30.00
17.00,5.50,3.00,30.00
17.50,5.50,3.00,30.00
18.00,5.50,3.00,30.00
18.50,5.50,3.00,30.00
19.00,5.50,3.00,30.00
0.00,6.00,3.00,30.00
0.50,6.00,3.00,30.00
1.00,6.00,3.00,30.00
1.50,6.00,3.00,30.00
2.00,6.00,3.00,30.00
2.50,6.00,3.00,30.00
3.00,6.00,3.00,30.00
3.50,6.00,3.00,30.00
4.00,6.00,3.00,30.00
4.50,6.00,3.00,30.00
5.00,6.00,3.00,30.00
5.50,6.00,3.00,30.00
6.00,6.00,3.00,30.00
6.50,6.00,3.00,30.00
7.00,6.00,3.00,30.00
7.50,6.00,3.00,30.00
8.00,6.00,3.00,30.00
8.50,6.00,3.00,30.00
9.00,6.00,3.00,30.00
9.50,6.00,3.00,30.00
10.00,6.00,3.00,30.00
10.50,6.00,3.00,30.00
11.00,6.00,3.00,30.00
11.50,6.00,3.00,30.00
12.00,6.00,3.00,30.00
12.50,6.00,3.00,30.00
13.00,6.00,3.00,30.00
13.50,6.00,3.00,30.00
14.00,6.00,3.00,30.00
14.50,6.00,3.00,30.00
15.00,6.00,3.00,30.00
15.50,6.00,3.00,30.00
16.00,6.00,3.00,30.00
16.50,6.00,3.00,30.00
17.00,6.00,3.00,30.00
17.50,6.00,3.00,30.00
18.00,6.00,3.00,30.00
18.50,6.00,3.00,30.00
19.00,6.00,3.00,30.00
0.00,6.50,3.00,30.00
0.50,6.50,3.00,30.00
1.00,6.50,3.00,30.00
1.50,6.50,3.00,30.00
2.00,6.50,3.00,30.00
2.50,6.50,3.00,30.00
3.00,6.50,3.00,30.00
3.50,6.50,3.00,30.00
4.00,6.50,3.00,30.00
4.50,6.50,3.00,30.00
5.00,6.50,3.00,30.00
5.50,6.50,3.00,30.00
6.00,6.50,3.00,30.00
6.50,6.50,3.00,30.00
7.00,6.50,3.00,30.00
7.50,6.50,3.00,30.00
8.00,6.50,3.00,30.00
8.50,6.50,3.00,30.00
9.00,6.50,3.00,30.00
9.50,6.50,3.00,30.00
10.00,6.50,3.00,30.00
10.50,6.50,3.00,30.00
11.00,6.50,3.00,30.00
11.50,6.50,3.00,30.00
12.00,6.50,3.00,30.00
12.50,6.50,3.00,30.00
13.00,6.50,3.00,30.00
13.50,6.50,3.00,30.00
14.00,6.50,3.00,30.00
14.50,6.50,3.00,30.00
15.00,6.50,3.00,30.00
15.50,6.50,3.00,30.00
16.00,6.50,3.00,30.00
16.50,6.50,3.00,30.00
17.00,6.50,3.00,30.00
17.50,6.50,3.00,30.00
18.00,6.50,3.00,30.00
18.50,6.50,3.00,30.00
19.00,6.50,3.00,30.00
0.00,7.00,3.00,30.00
0.50,7.00,3.00,30.00
1.00,7.00,3.00,30.00
1.50,7.00,3.00,30.00
2.00,7.00,3.00,30.00
2.50,7.00,3.00,30.00
3.00,7.00,3.00,30.00
3.50,7.00,3.00,30.00
4.00,7.00,3.00,30.00
4.50,7.00,3.00,30.00
5.00,7.00,3.00,30.00
5.50,7.00,3.00,30.00
6.00,7.00,3.00,30.00
6.50,7.00,3.00,30.00
7.00,7.00,3.00,30.00
7.50,7.00,3.00,30.00
8.00,7.00,3.00,30.00
8.50,7.00,3.00,30.00
9.00,7.00,3.00,30.00
9.50,7.00,3.00,30.00
10.00,7.00,3.00,30.00
10.50,7.00,3.00,30.00
11.00,7.00,3.00,30.00
11.50,7.00,3.00,30.00
12.00,7.00,3.00,30.00
12.50,7.00,3.00,30.00
13.00,7.00,3.00,30.00
13.50,7.00,3.00,30.00
14.00,7.00,3.00,30.00
14.50,7.00,3.00,30.00
15.00,7.00,3.00,30.00
15.50,7.00,3.00,30.00
16.00,7.00,3.00,30.00
16.50,7.00,3.00,30.00
17.00,7.00,3.00,30.00
17.50,7.00,3.00,30.00
18.00,7.00,3.00,30.00
18.50,7.00,3.00,30.00
19.00,7.00,3.00,30.00
0.00,7.50,3.00,30.00
0.50,7.50,3.00,30.00
1.00,7.50,3.00,30.00
1.50,7.50,3.00,30.00
2.00,7.50,3.00,30.00
2.50,7.50,3.00,30.00
3.00,7.50,3.00,30.00
3.50,7.50,3.00,30.00
4.00,7.50,3.00,30.00
4.50,7.50,3.00,30.00
5.00,7.50,3.00,30.00
5.50,7.50,3.00,30.00
6.00,7.50,3.00,30.00
6.50,7.50,3.00,30.00
7.00,7.50,3.00,30.00
7.50,7.50,3.00,30.00
8.00,7.50,3.00,30.00
8.50,7.50,3.00,30.00
9.00,7.50,3.00,30.00
9.50,7.50,3.00,30.00
10.00,7.50,3.00,30.00
10.50,7.50,3.00,30.00
11.00,7.50,3.00,30.00
11.50,7.50,3.00,30.00
12.00,7.50,3.00,30.00
12.50,7.50,3.00,30.00
13.00,7.50,3.00,30.00
13.50,7.50,3.00,30.00
