# X, Y, Penetration Depth, Frames to Capture
0.00,0.00,3.15,30.00
0.50,0.00,3.04,30.00
1.00,0.00,2.95,30.00
1.50,0.00,2.86,30.00
2.00,0.00,2.79,30.00
2.50,0.00,2.73,30.00
3.00,0.00,2.68,30.00
3.50,0.00,2.64,30.00
4.00,0.00,2.61,30.00
4.50,0.00,2.59,30.00
5.00,0.00,2.58,30.00
5.50,0.00,2.57,30.00
6.00,0.00,2.56,30.00
6.50,0.00,2.56,30.00
7.00,0.00,2.56,30.00
7.50,0.00,2.56,30.00
8.00,0.00,2.56,30.00
8.50,0.00,2.56,30.00
9.00,0.00,2.56,30.00
9.50,0.00,2.56,30.00
10.00,0.00,2.56,30.00
10.50,0.00,2.57,30.00
11.00,0.00,2.58,30.00
11.50,0.00,2.59,30.00
12.00,0.00,2.61,30.00
12.50,0.00,2.64,30.00
13.00,0.00,2.68,30.00
13.50,0.00,2.73,30.00
14.00,0.00,2.79,30.00
14.50,0.00,2.86,30.00
15.00,0.00,2.95,30.00
15.50,0.00,3.04,30.00
16.00,0.00,3.15,30.00
0.00,0.50,3.12,30.00
0.50,0.50,3.01,30.00
1.00,0.50,2.91,30.00
1.50,0.50,2.83,30.00
2.00,0.50,2.75,30.00
2.50,0.50,2.69,30.00
3.00,0.50,2.63,30.00
3.50,0.50,2.59,30.00
4.00,0.50,2.56,30.00
4.50,0.50,2.53,30.00
5.00,0.50,2.52,30.00
5.50,0.50,2.51,30.00
6.00,0.50,2.50,30.00
6.50,0.50,2.50,30.00
7.00,0.50,2.50,30.00
7.50,0.50,2.50,30.00
8.00,0.50,2.50,30.00
8.50,0.50,2.50,30.00
9.00,0.50,2.50,30.00
9.50,0.50,2.50,30.00
10.00,0.50,2.50,30.00
10.50,0.50,2.51,30.00
11.00,0.50,2.52,30.00
11.50,0.50,2.53,30.00
12.00,0.50,2.56,30.00
12.50,0.50,2.59,30.00
13.00,0.50,2.63,30.00
13.50,0.50,2.69,30.00
14.00,0.50,2.75,30.00
14.50,0.50,2.83,30.00
15.00,0.50,2.91,30.00
15.50,0.50,3.01,30.00
16.00,0.50,3.12,30.00
0.00,1.00,3.09,30.00
0.50,1.00,2.98,30.00
1.00,1.00,2.88,30.00
1.50,1.00,2.79,30.00
2.00,1.00,2.71,30.00
2.50,1.00,2.64,30.00
3.00,1.00,2.59,30.00
3.50,1.00,2.54,30.00
4.00,1.00,2.51,30.00
4.50,1.00,2.48,30.00
5.00,1.00,2.46,30.00
5.50,1.00,2.45,30.00
6.00,1.00,2.45,30.00
6.50,1.00,2.44,30.00
7.00,1.00,2.44,30.00
7.50,1.00,2.44,30.00
8.00,1.00,2.44,30.00
8.50,1.00,2.44,30.00
9.00,1.00,2.44,30.00
9.50,1.00,2.44,30.00
10.00,1.00,2.45,30.00
10.50,1.00,2.45,30.00
11.00,1.00,2.46,30.00
11.50,1.00,2.48,30.00
12.00,1.00,2.51,30.00
12.50,1.00,2.54,30.00
13.00,1.00,2.59,30.00
13.50,1.00,2.64,30.00
14.00,1.00,2.71,30.00
14.50,1.00,2.79,30.00
15.00,1.00,2.88,30.00
15.50,1.00,2.98,30.00
16.00,1.00,3.09,30.00
0.00,1.50,3.07,30.00
0.50,1.50,2.96,30.00
1.00,1.50,2.86,30.00
1.50,1.50,2.76,30.00
2.00,1.50,2.68,30.00
2.50,1.50,2.61,30.00
3.00,1.50,2.55,30.00
3.50,1.50,2.50,30.00
4.00,1.50,2.46,30.00
4.50,1.50,2.43,30.00
5.00,1.50,2.41,30.00
5.50,1.50,2.40,30.00
6.00,1.50,2.39,30.00
6.50,1.50,2.39,30.00
7.00,1.50,2.39,30.00
7.50,1.50,2.39,30.00
8.00,1.50,2.39,30.00
8.50,1.50,2.39,30.00
9.00,1.50,2.39,30.00
9.50,1.50,2.39,30.00
10.00,1.50,2.39,30.00
10.50,1.50,2.40,30.00
11.00,1.50,2.41,30.00
11.50,1.50,2.43,30.00
12.00,1.50,2.46,30.00
12.50,1.50,2.50,30.00
13.00,1.50,2.55,30.00
13.50,1.50,2.61,30.00
14.00,1.50,2.68,30.00
14.50,1.50,2.76,30.00
15.00,1.50,2.86,30.00
15.50,1.50,2.96,30.00
16.00,1.50,3.07,30.00
0.00,2.00,3.06,30.00
0.50,2.00,2.94,30.00
1.00,2.00,2.83,30.00
1.50,2.00,2.74,30.00
2.00,2.00,2.65,30.00
2.50,2.00,2.58,30.00
3.00,2.00,2.51,30.00
3.50,2.00,2.46,30.00
4.00,2.00,2.42,30.00
4.50,2.00,2.39,30.00
5.00,2.00,2.37,30.00
5.50,2.00,2.35,30.00
6.00,2.00,2.34,30.00
6.50,2.00,2.34,30.00
7.00,2.00,2.34,30.00
7.50,2.00,2.34,30.00
8.00,2.00,2.34,30.00
8.50,2.00,2.34,30.00
9.00,2.00,2.34,30.00
9.50,2.00,2.34,30.00
10.00,2.00,2.34,30.00
10.50,2.00,2.35,30.00
11.00,2.00,2.37,30.00
11.50,2.00,2.39,30.00
12.00,2.00,2.42,30.00
12.50,2.00,2.46,30.00
13.00,2.00,2.51,30.00
13.50,2.00,2.58,30.00
14.00,2.00,2.65,30.00
14.50,2.00,2.74,30.00
15.00,2.00,2.83,30.00
15.50,2.00,2.94,30.00
16.00,2.00,3.06,30.00
0.00,2.50,3.04,30.00
0.50,2.50,2.92,30.00
1.00,2.50,2.82,30.00
1.50,2.50,2.72,30.00
2.00,2.50,2.63,30.00
2.50,2.50,2.55,30.00
3.00,2.50,2.48,30.00
3.50,2.50,2.43,30.00
4.00,2.50,2.38,30.00
4.50,2.50,2.35,30.00
5.00,2.50,2.32,30.00
5.50,2.50,2.31,30.00
6.00,2.50,2.30,30.00
6.50,2.50,2.29,30.00
7.00,2.50,2.29,30.00
7.50,2.50,2.29,30.00
8.00,2.50,2.29,30.00
8.50,2.50,2.29,30.00
9.00,2.50,2.29,30.00
9.50,2.50,2.29,30.00
10.00,2.50,2.30,30.00
10.50,2.50,2.31,30.00
11.00,2.50,2.32,30.00
11.50,2.50,2.35,30.00
12.00,2.50,2.38,30.00
12.50,2.50,2.43,30.00
13.00,2.50,2.48,30.00
13.50,2.50,2.55,30.00
14.00,2.50,2.63,30.00
14.50,2.50,2.72,30.00
15.00,2.50,2.82,30.00
15.50,2.50,2.92,30.00
16.00,2.50,3.04,30.00
0.00,3.00,3.03,30.00
0.50,3.00,2.91,30.00
1.00,3.00,2.80,30.00
1.50,3.00,2.70,30.00
2.00,3.00,2.61,30.00
2.50,3.00,2.53,30.00
3.00,3.00,2.46,30.00
3.50,3.00,2.40,30.00
4.00,3.00,2.35,30.00
4.50,3.00,2.31,30.00
5.00,3.00,2.28,30.00
5.50,3.00,2.27,30.00
6.00,3.00,2.26,30.00
6.50,3.00,2.25,30.00
7.00,3.00,2.25,30.00
7.50,3.00,2.25,30.00
8.00,3.00,2.25,30.00
8.50,3.00,2.25,30.00
9.00,3.00,2.25,30.00
9.50,3.00,2.25,30.00
10.00,3.00,2.26,30.00
10.50,3.00,2.27,30.00
11.00,3.00,2.28,30.00
11.50,3.00,2.31,30.00
12.00,3.00,2.35,30.00
12.50,3.00,2.40,30.00
13.00,3.00,2.46,30.00
13.50,3.00,2.53,30.00
14.00,3.00,2.61,30.00
14.50,3.00,2.70,30.00
15.00,3.00,2.80,30.00
15.50,3.00,2.91,30.00
16.00,3.00,3.03,30.00
0.00,3.50,3.02,30.00
0.50,3.50,2.90,30.00
1.00,3.50,2.79,30.00
1.50,3.50,2.69,30.00
2.00,3.50,2.60,30.00
2.50,3.50,2.51,30.00
3.00,3.50,2.44,30.00
3.50,3.50,2.38,30.00
4.00,3.50,2.32,30.00
4.50,3.50,2.28,30.00
5.00,3.50,2.25,30.00
5.50,3.50,2.23,30.00
6.00,3.50,2.22,30.00
6.50,3.50,2.21,30.00
7.00,3.50,2.21,30.00
7.50,3.50,2.21,30.00
8.00,3.50,2.21,30.00
8.50,3.50,2.21,30.00
9.00,3.50,2.21,30.00
9.50,3.50,2.21,30.00
10.00,3.50,2.22,30.00
10.50,3.50,2.23,30.00
11.00,3.50,2.25,30.00
11.50,3.50,2.28,30.00
12.00,3.50,2.32,30.00
12.50,3.50,2.38,30.00
13.00,3.50,2.44,30.00
13.50,3.50,2.51,30.00
14.00,3.50,2.60,30.00
14.50,3.50,2.69,30.00
15.00,3.50,2.79,30.00
15.50,3.50,2.90,30.00
16.00,3.50,3.02,30.00
0.00,4.00,3.01,30.00
0.50,4.00,2.89,30.00
1.00,4.00,2.78,30.00
1.50,4.00,2.68,30.00
2.00,4.00,2.58,30.00
2.50,4.00,2.50,30.00
3.00,4.00,2.42,30.00
3.50,4.00,2.36,30.00
4.00,4.00,2.30,30.00
4.50,4.00,2.26,30.00
5.00,4.00,2.22,30.00
5.50,4.00,2.20,30.00
6.00,4.00,2.18,30.00
6.50,4.00,2.18,30.00
7.00,4.00,2.17,30.00
7.50,4.00,2.17,30.00
8.00,4.00,2.17,30.00
8.50,4.00,2.17,30.00
9.00,4.00,2.17,30.00
9.50,4.00,2.18,30.00
10.00,4.00,2.18,30.00
10.50,4.00,2.20,30.00
11.00,4.00,2.22,30.00
11.50,4.00,2.26,30.00
12.00,4.00,2.30,30.00
12.50,4.00,2.36,30.00
13.00,4.00,2.42,30.00
13.50,4.00,2.50,30.00
14.00,4.00,2.58,30.00
14.50,4.00,2.68,30.00
15.00,4.00,2.78,30.00
15.50,4.00,2.89,30.00
16.00,4.00,3.01,30.00
0.00,4.50,3.01,30.00
0.50,4.50,2.89,30.00
1.00,4.50,2.78,30.00
1.50,4.50,2.67,30.00
2.00,4.50,2.58,30.00
2.50,4.50,2.49,30.00
3.00,4.50,2.41,30.00
3.50,4.50,2.34,30.00
4.00,4.50,2.28,30.00
4.50,4.50,2.24,30.00
5.00,4.50,2.20,30.00
5.50,4.50,2.17,30.00
6.00,4.50,2.15,30.00
6.50,4.50,2.14,30.00
7.00,4.50,2.14,30.00
7.50,4.50,2.14,30.00
8.00,4.50,2.14,30.00
8.50,4.50,2.14,30.00
9.00,4.50,2.14,30.00
9.50,4.50,2.14,30.00
10.00,4.50,2.15,30.00
10.50,4.50,2.17,30.00
11.00,4.50,2.20,30.00
11.50,4.50,2.24,30.00
12.00,4.50,2.28,30.00
12.50,4.50,2.34,30.00
13.00,4.50,2.41,30.00
13.50,4.50,2.49,30.00
14.00,4.50,2.58,30.00
14.50,4.50,2.67,30.00
15.00,4.50,2.78,30.00
15.50,4.50,2.89,30.00
16.00,4.50,3.01,30.00
0.00,5.00,3.01,30.00
0.50,5.00,2.88,30.00
1.00,5.00,2.77,30.00
1.50,5.00,2.67,30.00
2.00,5.00,2.57,30.00
2.50,5.00,2.48,30.00
3.00,5.00,2.40,30.00
3.50,5.00,2.33,30.00
4.00,5.00,2.27,30.00
4.50,5.00,2.22,30.00
5.00,5.00,2.18,30.00
5.50,5.00,2.15,30.00
6.00,5.00,2.13,30.00
6.50,5.00,2.12,30.00
7.00,5.00,2.11,30.00
7.50,5.00,2.11,30.00
8.00,5.00,2.11,30.00
8.50,5.00,2.11,30.00
9.00,5.00,2.11,30.00
9.50,5.00,2.12,30.00
10.00,5.00,2.13,30.00
10.50,5.00,2.15,30.00
11.00,5.00,2.18,30.00
11.50,5.00,2.22,30.00
12.00,5.00,2.27,30.00
12.50,5.00,2.33,30.00
13.00,5.00,2.40,30.00
13.50,5.00,2.48,30.00
14.00,5.00,2.57,30.00
14.50,5.00,2.67,30.00
15.00,5.00,2.77,30.00
15.50,5.00,2.88,30.00
16.00,5.00,3.01,30.00
0.00,5.50,3.00,30.00
0.50,5.50,2.88,30.00
1.00,5.50,2.77,30.00
1.50,5.50,2.66,30.00
2.00,5.50,2.57,30.00
2.50,5.50,2.48,30.00
3.00,5.50,2.40,30.00
3.50,5.50,2.32,30.00
4.00,5.50,2.26,30.00
4.50,5.50,2.21,30.00
5.00,5.50,2.16,30.00
5.50,5.50,2.13,30.00
6.00,5.50,2.10,30.00
6.50,5.50,2.09,30.00
7.00,5.50,2.09,30.00
7.50,5.50,2.08,30.00
8.00,5.50,2.08,30.00
8.50,5.50,2.08,30.00
9.00,5.50,2.09,30.00
9.50,5.50,2.09,30.00
10.00,5.50,2.10,30.00
10.50,5.50,2.13,30.00
11.00,5.50,2.16,30.00
11.50,5.50,2.21,30.00
12.00,5.50,2.26,30.00
12.50,5.50,2.32,30.00
13.00,5.50,2.40,30.00
13.50,5.50,2.48,30.00
14.00,5.50,2.57,30.00
14.50,5.50,2.66,30.00
15.00,5.50,2.77,30.00
15.50,5.50,2.88,30.00
16.00,5.50,3.00,30.00
0.00,6.00,3.00,30.00
0.50,6.00,2.88,30.00
1.00,6.00,2.77,30.00
1.50,6.00,2.66,30.00
2.00,6.00,2.56,30.00
2.50,6.00,2.47,30.00
3.00,6.00,2.39,30.00
3.50,6.00,2.32,30.00
4.00,6.00,2.25,30.00
4.50,6.00,2.20,30.00
5.00,6.00,2.15,30.00
5.50,6.00,2.11,30.00
6.00,6.00,2.09,30.00
6.50,6.00,2.07,30.00
7.00,6.00,2.06,30.00
7.50,6.00,2.06,30.00
8.00,6.00,2.06,30.00
8.50,6.00,2.06,30.00
9.00,6.00,2.06,30.00
9.50,6.00,2.07,30.00
10.00,6.00,2.09,30.00
10.50,6.00,2.11,30.00
11.00,6.00,2.15,30.00
11.50,6.00,2.20,30.00
12.00,6.00,2.25,30.00
12.50,6.00,2.32,30.00
13.00,6.00,2.39,30.00
13.50,6.00,2.47,30.00
14.00,6.00,2.56,30.00
14.50,6.00,2.66,30.00
15.00,6.00,2.77,30.00
15.50,6.00,2.88,30.00
16.00,6.00,3.00,30.00
0.00,6.50,3.00,30.00
0.50,6.50,2.88,30.00
1.00,6.50,2.76,30.00
1.50,6.50,2.66,30.00
2.00,6.50,2.56,30.00
2.50,6.50,2.47,30.00
3.00,6.50,2.39,30.00
3.50,6.50,2.32,30.00
4.00,6.50,2.25,30.00
4.50,6.50,2.19,30.00
5.00,6.50,2.15,30.00
5.50,6.50,2.11,30.00
6.00,6.50,2.08,30.00
6.50,6.50,2.06,30.00
7.00,6.50,2.05,30.00
7.50,6.50,2.04,30.00
8.00,6.50,2.04,30.00
8.50,6.50,2.04,30.00
9.00,6.50,2.05,30.00
9.50,6.50,2.06,30.00
10.00,6.50,2.08,30.00
10.50,6.50,2.11,30.00
11.00,6.50,2.15,30.00
11.50,6.50,2.19,30.00
12.00,6.50,2.25,30.00
12.50,6.50,2.32,30.00
13.00,6.50,2.39,30.00
13.50,6.50,2.47,30.00
14.00,6.50,2.56,30.00
14.50,6.50,2.66,30.00
15.00,6.50,2.76,30.00
15.50,6.50,2.88,30.00
16.00,6.50,3.00,30.00
0.00,7.00,3.00,30.00
0.50,7.00,2.88,30.00
1.00,7.00,2.76,30.00
1.50,7.00,2.66,30.00
2.00,7.00,2.56,30.00
2.50,7.00,2.47,30.00
3.00,7.00,2.39,30.00
3.50,7.00,2.31,30.00
4.00,7.00,2.25,30.00
4.50,7.00,2.19,30.00
5.00,7.00,2.14,30.00
5.50,7.00,2.10,30.00
6.00,7.00,2.07,30.00
6.50,7.00,2.04,30.00
7.00,7.00,2.03,30.00
7.50,7.00,2.03,30.00
8.00,7.00,2.03,30.00
8.50,7.00,2.03,30.00
9.00,7.00,2.03,30.00
9.50,7.00,2.04,30.00
10.00,7.00,2.07,30.00
10.50,7.00,2.10,30.00
11.00,7.00,2.14,30.00
11.50,7.00,2.19,30.00
12.00,7.00,2.25,30.00
12.50,7.00,2.31,30.00
13.00,7.00,2.39,30.00
13.50,7.00,2.47,30.00
14.00,7.00,2.56,30.00
14.50,7.00,2.66,30.00
15.00,7.00,2.76,30.00
15.50,7.00,2.88,30.00
16.00,7.00,3.00,30.00
0.00,7.50,3.00,30.00
0.50,7.50,2.88,30.00
1.00,7.50,2.76,30.00
1.50,7.50,2.66,30.00
2.00,7.50,2.56,30.00
2.50,7.50,2.47,30.00
3.00,7.50,2.39,30.00
3.50,7.50,2.31,30.00
4.00,7.50,2.25,30.00
4.50,7.50,2.19,30.00
5.00,7.50,2.14,30.00
5.50,7.50,2.10,30.00
6.00,7.50,2.06,30.00
6.50,7.50,2.04,30.00
7.00,7.50,2.02,30.00
7.50,7.50,2.02,30.00
8.00,7.50,2.02,30.00
8.50,7.50,2.02,30.00
9.00,7.50,2.02,30.00
9.50,7.50,2.04,30.00
10.00,7.50,2.06,30.00
10.50,7.50,2.10,30.00
11.00,7.50,2.14,30.00
11.50,7.50,2.19,30.00
12.00,7.50,2.25,30.00
12.50,7.50,2.31,30.00
13.00,7.50,2.39,30.00
13.50,7.50,2.47,30.00
14.00,7.50,2.56,30.00
14.50,7.50,2.66,30.00
15.00,7.50,2.76,30.00
15.50,7.50,2.88,30.00
16.00,7.50,3.00,30.00
0.00,8.00,3.00,30.00
0.50,8.00,2.88,30.00
1.00,8.00,2.76,30.00
1.50,8.00,2.66,30.00
2.00,8.00,2.56,30.00
2.50,8.00,2.47,30.00
3.00,8.00,2.39,30.00
3.50,8.00,2.31,30.00
4.00,8.00,2.25,30.00
4.50,8.00,2.19,30.00
5.00,8.00,2.14,30.00
5.50,8.00,2.10,30.00
6.00,8.00,2.06,30.00
6.50,8.00,2.04,30.00
7.00,8.00,2.02,30.00
7.50,8.00,2.01,30.00
8.00,8.00,2.01,30.00
8.50,8.00,2.01,30.00
9.00,8.00,2.02,30.00
9.50,8.00,2.04,30.00
10.00,8.00,2.06,30.00
10.50,8.00,2.10,30.00
11.00,8.00,2.14,30.00
11.50,8.00,2.19,30.00
12.00,8.00,2.25,30.00
12.50,8.00,2.31,30.00
13.00,8.00,2.39,30.00
13.50,8.00,2.47,30.00
14.00,8.00,2.56,30.00
14.50,8.00,2.66,30.00
15.00,8.00,2.76,30.00
15.50,8.00,2.88,30.00
16.00,8.00,3.00,30.00
0.00,8.50,3.00,30.00
0.50,8.50,2.88,30.00
1.00,8.50,2.76,30.00
1.50,8.50,2.66,30.00
2.00,8.50,2.56,30.00
2.50,8.50,2.47,30.00
3.00,8.50,2.39,30.00
3.50,8.50,2.31,30.00
4.00,8.50,2.25,30.00
4.50,8.50,2.19,30.00
5.00,8.50,2.14,30.00
5.50,8.50,2.10,30.00
6.00,8.50,2.06,30.00
6.50,8.50,2.03,30.00
7.00,8.50,2.02,30.00
7.50,8.50,2.00,30.00
8.00,8.50,2.00,30.00
8.50,8.50,2.00,30.00
9.00,8.50,2.02,30.00
9.50,8.50,2.03,30.00
10.00,8.50,2.06,30.00
10.50,8.50,2.10,30.00
11.00,8.50,2.14,30.00
11.50,8.50,2.19,30.00
12.00,8.50,2.25,30.00
12.50,8.50,2.31,30.00
13.00,8.50,2.39,30.00
13.50,8.50,2.47,30.00
14.00,8.50,2.56,30.00
14.50,8.50,2.66,30.00
15.00,8.50,2.76,30.00
15.50,8.50,2.88,30.00
16.00,8.50,3.00,30.00
0.00,9.00,3.00,30.00
0.50,9.00,2.88,30.00
1.00,9.00,2.76,30.00
1.50,9.00,2.66,30.00
2.00,9.00,2.56,30.00
2.50,9.00,2.47,30.00
3.00,9.00,2.39,30.00
3.50,9.00,2.31,30.00
4.00,9.00,2.25,30.00
4.50,9.00,2.19,30.00
5.00,9.00,2.14,30.00
5.50,9.00,2.10,30.00
6.00,9.00,2.06,30.00
6.50,9.00,2.03,30.00
7.00,9.00,2.02,30.00
7.50,9.00,2.00,30.00
8.00,9.00,2.00,30.00
8.50,9.00,2.00,30.00
9.00,9.00,2.02,30.00
9.50,9.00,2.03,30.00
10.00,9.00,2.06,30.00
10.50,9.00,2.10,30.00
11.00,9.00,2.14,30.00
11.50,9.00,2.19,30.00
12.00,9.00,2.25,30.00
12.50,9.00,2.31,30.00
13.00,9.00,2.39,30.00
13.50,9.00,2.47,30.00
